Ticker,Type,Quantity,Price,Date,Fees,Currency
ARKF,Buy,6,49.61,2021-09-30,0,USD
HTGC,Buy,25,15.16,2021-09-30,5,USD
IBB,Buy,4,155.91,2021-09-30,0,USD
KBWD,Buy,20,20.57,2021-09-30,0,USD
LIT,Buy,4,80.86,2021-09-30,0,USD
LQD,Buy,2,133.35,2021-09-30,0,USD
MRK,Buy,1,73.45,2021-09-30,5,USD
MSFT,Buy,2,231.12,2021-09-30,5,USD
PLTR,Buy,53,29.37,2021-09-30,5,USD
SCYX,Buy,230,7.84,2021-09-30,5,USD
SLV,Buy,13,20.88,2021-09-30,0,USD
TCPC,Buy,28,13.77,2021-09-30,5,USD
TM,Buy,8,166.34,2021-09-30,5,USD
BIP-UN.TO,Buy,12,66.35,2021-09-30,5,CAD
CDZ.TO,Buy,42,31.39,2021-09-30,0,CAD
GRT-UN.TO,Buy,15,80.26,2021-09-30,5,CAD
NWH-UN.TO,Buy,45,12.94,2021-09-30,5,CAD
PPL.TO,Buy,1,33.74,2021-09-30,5,CAD
SRU-UN.TO,Buy,20,26.92,2021-09-30,5,CAD
VAB.TO,Buy,45,25.79,2021-09-30,0,CAD
VBU.TO,Buy,35,25.88,2021-09-30,0,CAD
VDY.TO,Buy,15,40.36,2021-09-30,0,CAD
VSB.TO,Buy,40,23.98,2021-09-30,0,CAD
XDV.TO,Buy,40,29.19,2021-09-30,0,CAD
XIU.TO,Buy,55,30.35,2021-09-30,0,CAD
VB,Buy,1,220.67,2021-09-30,0,USD
VO,Buy,2,238.92,2021-09-30,0,USD
VOO,Buy,3,396.66,2021-09-30,0,USD
VOOV,Buy,3,141.90,2021-09-30,0,USD
LQD,Buy,2,132.06,2021-10-12,0,USD
AQN.TO,Dividend,0,33.31,2021-10-14,0,CAD
PPL.TO,Dividend,0,5.25,2021-10-14,0,CAD
T.TO,Dividend,0,30.67,2021-10-01,0,CAD
BIP-UN.TO,Dividend,0,7.66,2021-10-01,0,CAD
MFC.TO,Dividend,0,5.60,2021-10-01,0,CAD
TM,Sell,-5,172.03,2021-10-06,5,USD
HTGC,Dividend,0,26.52,2021-10-08,0,USD
SCYX,Sell,-50,5.20,2021-10-01,5,USD
VOOV,Sell,-2,148.02,2021-10-26,5,USD
XDV.TO,Sell,-10,30.24,2021-10-26,5,CAD
XIU.TO,Sell,-15,32.24,2021-10-26,5,CAD
VSB.TO,Sell,-20,23.82,2021-10-26,5,CAD
VBU.TO,Sell,-15,25.70,2021-10-26,5,CAD
CDZ.TO,Sell,-10,32.49,2021-10-26,5,CAD
ARKF,Sell,-5,53.46,2021-10-26,5,USD
LIT,Sell,-4,89.67,2021-10-26,5,USD
VAB.TO,Sell,-25,25.50,2021-10-26,5,CAD
VDY.TO,Sell,-7,42.47,2021-10-25,5,CAD
GRT-UN.TO,Dividend,0,3.75,2021-10-26,0,CAD
NWH-UN.TO,Dividend,0,3.00,2021-10-26,0,CAD
SRU-UN.TO,Dividend,0,3.08,2021-10-26,0,CAD
CDZ.TO,Dividend,0,3.57,2021-10-29,0,CAD
XDV.TO,Dividend,0,4.20,2021-10-29,0,CAD
KBWD,Dividend,0,2.24,2021-10-29,0,USD
NA.TO,Dividend,0,3.55,2021-11-01,0,CAD
VBU.TO,Dividend,0,0.54,2021-11-08,0,CAD
VDY.TO,Dividend,0,0.75,2021-11-09,0,CAD
VSB.TO,Dividend,0,0.76,2021-11-10,0,CAD
VAB.TO,Dividend,0,1.01,2021-11-11,0,CAD
LQD,Dividend,0,0.90,2021-11-12,0,USD
GRT-UN.TO,Dividend,0,3.7,2021-11-18,0,CAD
NWH-UN.TO,Dividend,0,3.0,2021-11-18,0,CAD
SRU-UN.TO,Dividend,0,3.08,2021-11-18,0,CAD
PPL.TO,Dividend,0,0.21,2021-11-18,0,CAD
HTGC,Dividend,0,8.50,2021-11-18,0,USD
ARKF,Sell,-1,48.92,2021-11-22,5,USD
IBB,Sell,-4,155.13,2021-11-22,5,USD
SLV,Sell,-13,22.71,2021-11-22,5,USD
VAB.TO,Sell,-20,25.25,2021-11-22,5,CAD
CDZ.TO,Sell,-32,32.2,2021-11-22,5,CAD
LQD,Buy,5,132.56,2021-11-22,0,USD
VBU.TO,Buy,10,25.73,2021-11-22,0,CAD
VSB.TO,Buy,30,23.68,2021-11-22,0,CAD
TCPC,Buy,18,13.58,2021-11-22,5,USD
NWH-UN.TO,Sell,-40,13.63,2021-11-22,0,CAD
XIU.TO,Dividend,0,7.84,2021-11-30,0,CAD
XDV.TO,Dividend,0,3.15,2021-11-30,0,CAD
KBWD,Dividend,0,2.27,2021-11-30,0,USD
LQD,Sell,-3,132.78,2021-12-01,5,USD
PLTR,Buy,20,19.80,2021-12-01,5,USD
TM,Dividend,0,14.06,12/10/2021,0,USD
LQD,Dividend,0,1.83,12/10/2021,0,USD
VSB.TO,Dividend,0,2.06,12/10/2021,0,CAD
VDY.TO,Dividend,0,1.13,12/10/2021,0,CAD
VBU.TO,Dividend,0,0.92,12/10/2021,0,CAD
MSFT,Dividend,0,1.06,12/10/2021,0,USD
SKYY,Buy,3,105.03,12/10/2021,0,USD
KBWD,Sell,-20,20.09,12/13/2021,5,USD
VNQ,Buy,3,111.68,12/13/2021,0,USD
VB,Sell,-1,219.32,12/14/2021,5,USD
XDV.TO,Sell,-30,29.92,12/14/2021,5,CAD
LQD,Dividend,0,1.31,12/15/2021,0,USD
GRT-UN.TO,Dividend,0,3.70,12/15/2021,0,CAD
NWH-UN.TO,Dividend,0,0.33,12/15/2021,0,CAD
SRU-UN.TO,Dividend,0,3.08,12/15/2021,0,CAD
PPL.TO,Dividend,0,0.21,12/15/2021,0,CAD
VBU.TO,Dividend,0,1.90,1/5/2022,0,CAD
SKYY,Dividend,0,1.73,1/5/2022,0,USD
TCPC,Dividend,0,11.73,1/5/2022,0,USD
BIP-UN.TO,Dividend,0,7.69,1/5/2022,0,CAD
VO,Dividend,0,1.57,1/5/2022,0,USD
VOO,Dividend,0,3.91,1/5/2022,0,USD
VOOV,Dividend,0,0.71,1/5/2022,0,USD
VNQ,Dividend,0,1.10,1/5/2022,0,USD
MRK,Dividend,0,0.59,1/11/2022,0,USD
VDY.TO,Dividend,0,0.98,1/11/2022,0,CAD
VSB.TO,Dividend,0,1.43,1/11/2022,0,CAD
NWH-UN.TO,Dividend,0,0.33,1/14/2022,0,CAD
GRT-UN.TO,Dividend,0,3.87,1/14/2022,0,CAD
PPL.TO,Dividend,0,0.21,1/14/2022,0,CAD
SRU-UN.TO,Dividend,0,3.08,1/17/2022,0,CAD
VIRT,Buy,13,29.11,1/20/2022,5,USD
CLVS,Buy,40,2.38,1/21/2022,5,USD
VO,Sell,-2,226.06,1/24/2022,5,USD
PLTR,Buy,27,12.08,1/24/2022,5,USD
VBU.TO,Sell,-30,25.24,1/24/2022,5,CAD
VSB.TO,Sell,-50,23.51,1/25/2022,5,CAD
VOO,Buy,3,395.52,1/25/2022,0,USD
LQD,Sell,-6,128.41,1/25/2022,5,USD
XIU.TO,Buy,15,31.22,1/25/2022,0,CAD
VDY.TO,Buy,10,44.17,1/25/2022,0,CAD
VDY.TO,Dividend,0,2.46,2/8/2022,0,CAD
PLTR,Buy,35,10.75,2/18/2022,5,USD
VIRT,Sell,-13,35.18,2/18/2022,5,USD
PPL.TO,Dividend,0,0.21,2/15/2022,0,CAD
SRU-UN.TO,Dividend,0,3.08,2/15/2022,0,CAD
GRT-UN.TO,Dividend,0,3.85,2/15/2022,0,CAD
NWH-UN.TO,Dividend,0,0.33,2/15/2022,0,CAD
